onionDomain,onionAdURL,FinalDumpPath
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Geneve-%2B%3Fdebut_article_rubrique%3D150&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/38634E77A2B92D7F28844499DEEA5F16F260A34968BA4E68828B7E6616B26EC1
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Luttes-etudiantes-%2B&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/3AF14EA6FB60B5E793DCC1675FA2B70948A9B0F8C5B1DF958BE9E9E68BA53802
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Logement-Squat-%2B%3Fdebut_article_rubrique%3D10&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/8ED9F7B8033E37511F7FF3150BE443F06610E77C344F1E493AD2F91398983D04
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Histoire-Memoire-%2B%3Fdebut_article_rubrique%3D10&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/4D9C47CB1FE739DB0987379447444C7E5EDCC3FD39A7A40AE895FB8D0FFA6559
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Migrations-Frontieres-%2B%3Fdebut_article_rubrique%3D100&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/D55CF7CE3075D71281EF79B440B0DCE92A1E91A7DD00259BEC97193E35BE0013
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Migrations-Frontieres-%2B%3Fdebut_article_rubrique%3D60&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/C6C4A775DD64F5C80FB30A76D289B269F8375751441063451C533DE7366B9B7F
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Migrations-Frontieres-%2B%3Fdebut_article_rubrique%3D90&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/AC33516D7227216C6E6A5CC07F0B5AB82F42E85D661C03B107790613860E69C1
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Migrations-Frontieres-%2B%3Fdebut_article_rubrique%3D30&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/2A40D38C504FCEB34AA1ACD1B3A72CD1F517195D9FF3F0B4605E9AF7D47632DD
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/+-Ecologie-Nucleaire-+?debut_article_rubrique=20,/home/hm/Downloads/dump/onion/d26vp7trenverss7/22D12A5D39566635A524E2D8DC66E70BFF9B077C99B0240BA620402521FA5222
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Expression-Contre-culture-%2B&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/C90465DB31E30C134A18FAA9466BBD9BFE5A7670E144310BECF9B0B61862FE25
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Antispecisme-Liberation-animale-%2B&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/E3DAE280DCD5753CD54E523991326A2469FC99B36A5ADA509B8B550326E88EFB
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Antisexisme-Feminisme-%2B&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/684105CA31212AB06B861BCCCDBBC7324E17D7768794C6C53B0C558EC300DA77
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Antisexisme-Feminisme-%2B%3Fdebut_article_rubrique%3D10&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/6D62158D7BE64C38F61D712794830830EF153B703B1C655E0396AD00B54654D3
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/-Analyses-?id_mot=8,/home/hm/Downloads/dump/onion/d26vp7trenverss7/31647E3993BC840125353F065D583BE7DD2A8A3FA6D25AFF78E944E7737242B8
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/spip.php?page=login&url=%2B-Anticapitalisme-Lutte-des-classes-%2B%3Fdebut_article_rubrique%3D40&lang=fr,/home/hm/Downloads/dump/onion/d26vp7trenverss7/5032DE0700197993088A0CF5BC7FA0227D5AB265A0D4C59EAE2D331EB79A0A5C
d26vp7trenverss7.onion,http://d26vp7trenverss7.onion/-Analyses-?id_mot=29,/home/hm/Downloads/dump/onion/d26vp7trenverss7/BA0CECB8DEFB53C8249CDC8317FCBD81AEAC9F3D6934A465FD9BD9C360135F42
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/viewtopic.php?p=62&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/19683291E101D3B8E048F3A1801B3C700E9F8EEA3C9BF04C7280EC505D6B3ED5
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/posting.php?f=1&mode=quote&p=62&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/97BFE931A12547CA33EED3D2F50D37BEAB21BF529A6ACFAEA4059F774DF4FC75
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/memberlist.php?mode=viewprofile&sid=9f55cbf390b637b709d1ee509d38cabf&u=245,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/4349F165E57A096A7BD445E1E6F848F1B688E902CA5F29EEB87EB7F57C00C09D
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/viewtopic.php?p=242&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/53F211821BB7C3A05AE005DEF7EF9D0EE79753F4A637FFF9491C0D506A3B3C1D
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/posting.php?f=1&mode=quote&p=237&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/7F61E407644D6F977D356F64B9C76B7CEC77F4BF19222D2211DF84218A3E6EA0
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/memberlist.php?mode=viewprofile&sid=9f55cbf390b637b709d1ee509d38cabf&u=234,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/0201AEC790B1689B0581561D4A484BDE0600297817A69F5489B5DFCAC5E3811D
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/posting.php?f=1&mode=quote&p=319&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/D64185628AC05843E68DD3E49AD65D97FFBA43C01520B11581AA51DFBA8C3622
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/posting.php?f=1&mode=quote&p=313&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/1601F61306298D3DEDA73E13CFB54121B4526A6883C624D7ECFC773D1A639A10
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/viewtopic.php?p=311&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/7F2D1672905CF440DDF3AAE1A9A0C4BE1B0BE567388C56678C27E5B136EF4D92
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/posting.php?f=1&mode=quote&p=311&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/F67662600EA5F8BEE3BC2FF66C5E936B69098E393A3497BF071C992E22D8CB87
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/posting.php?f=1&mode=quote&p=193&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/79FC7DC5BB45C35FC4FB8CAEB53555671417AA0426841026878F5AE6B5C7CDC6
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/posting.php?f=1&mode=quote&p=184&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/6510D883D7F4EF7536E4B70B2F4A57D29CEAD1BC33B51E2C9F5A351ED9DAFC4D
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/memberlist.php?mode=viewprofile&sid=9f55cbf390b637b709d1ee509d38cabf&u=170,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/2B9EA3517F1ECAAB596B7BFE48CE4A033289F9EF8EE3D9D6A839719F8657692D
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/memberlist.php?mode=viewprofile&sid=9f55cbf390b637b709d1ee509d38cabf&u=308,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/2FFCB83F8D1968A1ABC5EDB9AF2FCCEBE915978D5DC983B568D33804C69B8D71
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/memberlist.php?mode=viewprofile&sid=9f55cbf390b637b709d1ee509d38cabf&u=295,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/98979E4EDD11FE49A87FA0629FBCA9A4D454265EB147D1AB6C5FA3E3FDF8EED7
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/viewtopic.php?p=236&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/B26EFE00FE2EA6AC68DDD76077E356935C9EDCB4DB15B84CB61C5302AB63BC92
gl75awtvsmp2ofe6.onion,http://gl75awtvsmp2ofe6.onion/posting.php?f=1&mode=quote&p=200&sid=9f55cbf390b637b709d1ee509d38cabf,/home/hm/Downloads/dump/onion/gl75awtvsmp2ofe6/4D076286774F15EEA78028A6B8543DA656AF1B04F7D1A752F175C7FF001010D5
